节省计划实例ID,被抵扣账单开始时间,被抵扣账单结束时间,节省计划类型,抵扣金额,被抵扣账单目录总价,账单抵扣率,节省计划归属账号ID,对应抵扣商品CODE,被抵扣商品,被抵扣资源实例ID,抵扣折扣,货币单位,计费项,节省计划归属账号,被抵扣资源归属账号ID,被抵扣资源归属账号

spn-cbbee29bJUSMOb3K	,2026/04/04 14:53:00	,2026/04/04 14:54:00	,sfm_GenAIBeginner_spn_cn	,0.148016,0.1577192,0.9384780039,1797057687157191	,sfm_inference_public_cn	,百炼大模型推理	,4340067;llm-d1yirzwdyvdjdoo7;qwen3.5-plus;context_0-128k_input_token;;0	,1,CNY	,文本用量	,taocui@alcatel-lucent.com	,1797057687157191	,taocui@alcatel-lucent.com	
spn-cbbee29bJUSMOb3K	,2026/04/04 14:52:00	,2026/04/04 14:53:00	,sfm_GenAIBeginner_spn_cn	,0.0384968,0.0384968,1,1797057687157191	,sfm_inference_public_cn	,百炼大模型推理	,4340067;llm-d1yirzwdyvdjdoo7;qwen3.5-plus;context_0-128k_input_token;;0	,1,CNY	,文本用量	,taocui@alcatel-lucent.com	,1797057687157191	,taocui@alcatel-lucent.com	
spn-cbbee29bJUSMOb3K	,2026/04/04 14:52:00	,2026/04/04 14:53:00	,sfm_GenAIBeginner_spn_cn	,0.0006672,0.0006672,1,1797057687157191	,sfm_inference_public_cn	,百炼大模型推理	,4340067;llm-d1yirzwdyvdjdoo7;qwen3.5-plus;context_0-128k_output_token;;0	,1,CNY	,文本用量	,taocui@alcatel-lucent.com	,1797057687157191	,taocui@alcatel-lucent.com	
spn-cbbee29bJUSMOb3K	,2026/04/04 14:40:00	,2026/04/04 14:41:00	,sfm_GenAIBeginner_spn_cn	,0.0372136,0.0372136,1,1797057687157191	,sfm_inference_public_cn	,百炼大模型推理	,4340067;llm-d1yirzwdyvdjdoo7;qwen3.5-plus;context_0-128k_input_token;;0	,1,CNY	,文本用量	,taocui@alcatel-lucent.com	,1797057687157191	,taocui@alcatel-lucent.com	
spn-cbbee29bJUSMOb3K	,2026/04/04 14:40:00	,2026/04/04 14:41:00	,sfm_GenAIBeginner_spn_cn	,0.000984,0.000984,1,1797057687157191	,sfm_inference_public_cn	,百炼大模型推理	,4340067;llm-d1yirzwdyvdjdoo7;qwen3.5-plus;context_0-128k_output_token;;0	,1,CNY	,文本用量	,taocui@alcatel-lucent.com	,1797057687157191	,taocui@alcatel-lucent.com	
spn-cbbee29bJUSMOb3K	,2026/04/04 14:39:00	,2026/04/04 14:40:00	,sfm_GenAIBeginner_spn_cn	,0.0736552,0.0736552,1,1797057687157191	,sfm_inference_public_cn	,百炼大模型推理	,4340067;llm-d1yirzwdyvdjdoo7;qwen3.5-plus;context_0-128k_input_token;;0	,1,CNY	,文本用量	,taocui@alcatel-lucent.com	,1797057687157191	,taocui@alcatel-lucent.com	
spn-cbbee29bJUSMOb3K	,2026/04/04 14:39:00	,2026/04/04 14:40:00	,sfm_GenAIBeginner_spn_cn	,0.000696,0.000696,1,1797057687157191	,sfm_inference_public_cn	,百炼大模型推理	,4340067;llm-d1yirzwdyvdjdoo7;qwen3.5-plus;context_0-128k_output_token;;0	,1,CNY	,文本用量	,taocui@alcatel-lucent.com	,1797057687157191	,taocui@alcatel-lucent.com	
spn-cbbee29bJUSMOb3K	,2026/04/03 22:24:00	,2026/04/03 22:25:00	,sfm_GenAIBeginner_spn_cn	,0.1380248,0.1380248,1,1797057687157191	,sfm_inference_public_cn	,百炼大模型推理	,4340067;llm-d1yirzwdyvdjdoo7;qwen3.5-plus;context_0-128k_input_token;;0	,1,CNY	,文本用量	,taocui@alcatel-lucent.com	,1797057687157191	,taocui@alcatel-lucent.com	
spn-cbbee29bJUSMOb3K	,2026/04/03 22:24:00	,2026/04/03 22:25:00	,sfm_GenAIBeginner_spn_cn	,0.0053136,0.0053136,1,1797057687157191	,sfm_inference_public_cn	,百炼大模型推理	,4340067;llm-d1yirzwdyvdjdoo7;qwen3.5-plus;context_0-128k_output_token;;0	,1,CNY	,文本用量	,taocui@alcatel-lucent.com	,1797057687157191	,taocui@alcatel-lucent.com	
spn-cbbee29bJUSMOb3K	,2026/04/03 22:18:00	,2026/04/03 22:19:00	,sfm_GenAIBeginner_spn_cn	,0.0407608,0.0407608,1,1797057687157191	,sfm_inference_public_cn	,百炼大模型推理	,4340067;llm-d1yirzwdyvdjdoo7;qwen3.5-plus;context_0-128k_input_token;;0	,1,CNY	,文本用量	,taocui@alcatel-lucent.com	,1797057687157191	,taocui@alcatel-lucent.com	
